Year_Month,Day,Time,Hour,Minute,Temperature
2010_September,4,0:00:00,00 h,0,4.51
2010_September,4,0:10:00,00 h,10,4.55
2010_September,4,0:20:00,00 h,20,4.56
2010_September,4,0:30:00,00 h,30,4.54
2010_September,4,0:40:00,00 h,40,4.66
2010_September,4,0:50:00,00 h,50,4.68
2010_September,4,1:00:00,01 h,0,4.59
2010_September,4,1:10:00,01 h,10,4.48
2010_September,4,1:20:00,01 h,20,4.46
2010_September,4,1:30:00,01 h,30,4.48
2010_September,4,1:40:00,01 h,40,4.6
2010_September,4,1:50:00,01 h,50,4.59
2010_September,4,2:00:00,02 h,0,4.48
2010_September,4,2:10:00,02 h,10,4.56
2010_September,4,2:20:00,02 h,20,4.65
2010_September,4,2:30:00,02 h,30,4.63
2010_September,4,2:40:00,02 h,40,4.66
2010_September,4,2:50:00,02 h,50,4.64
2010_September,4,3:00:00,03 h,0,4.7
2010_September,4,3:10:00,03 h,10,4.59
2010_September,4,3:20:00,03 h,20,4.57
2010_September,4,3:30:00,03 h,30,4.59
2010_September,4,3:40:00,03 h,40,4.63
2010_September,4,3:50:00,03 h,50,4.59
2010_September,4,4:00:00,04 h,0,4.63
2010_September,4,4:10:00,04 h,10,4.66
2010_September,4,4:20:00,04 h,20,4.64
2010_September,4,4:30:00,04 h,30,4.63
2010_September,4,4:40:00,04 h,40,4.65
2010_September,4,4:50:00,04 h,50,4.69
2010_September,4,5:00:00,05 h,0,4.63
2010_September,4,5:10:00,05 h,10,4.7
2010_September,4,5:20:00,05 h,20,4.7
2010_September,4,5:30:00,05 h,30,4.55
2010_September,4,5:40:00,05 h,40,4.52
2010_September,4,5:50:00,05 h,50,4.56
2010_September,4,6:00:00,06 h,0,4.6
2010_September,4,6:10:00,06 h,10,4.63
2010_September,4,6:20:00,06 h,20,4.63
2010_September,4,6:30:00,06 h,30,4.63
2010_September,4,6:40:00,06 h,40,4.61
2010_September,4,6:50:00,06 h,50,4.55
2010_September,4,7:00:00,07 h,0,4.56
2010_September,4,7:10:00,07 h,10,4.56
2010_September,4,7:20:00,07 h,20,4.57
2010_September,4,7:30:00,07 h,30,4.52
2010_September,4,7:40:00,07 h,40,4.52
2010_September,4,7:50:00,07 h,50,4.56
2010_September,4,8:00:00,08 h,0,4.52
2010_September,4,8:10:00,08 h,10,4.47
2010_September,4,8:20:00,08 h,20,4.47
2010_September,4,8:30:00,08 h,30,4.54
2010_September,4,8:40:00,08 h,40,4.64
2010_September,4,8:50:00,08 h,50,4.52
2010_September,4,9:00:00,09 h,0,4.52
2010_September,4,9:10:00,09 h,10,4.47
2010_September,4,9:20:00,09 h,20,4.52
2010_September,4,9:30:00,09 h,30,4.45
2010_September,4,9:40:00,09 h,40,4.45
2010_September,4,9:50:00,09 h,50,4.59
2010_September,4,10:00:00,10 h,0,4.54
2010_September,4,10:10:00,10 h,10,4.57
2010_September,4,10:20:00,10 h,20,4.51
2010_September,4,10:30:00,10 h,30,4.5
