,Amplitude,Phase_circle,Phase,Decay_rate,Period,Rhythmicity
TRINITY_DN7591_c0_g1_i1.1,5.654047588,305.6177533,8.602114341,0.916979252,10.13279212,rhythmic
TRINITY_DN2059_c0_g1_i2.1,15.03675003,0,NA,1.148247142,Inf,nonrhythmic
TRINITY_DN2059_c0_g1_i2.2,NA,0,NA,NA,Inf,nonrhythmic
TRINITY_DN910_c1_g1_i11.1,8.732619123,270.1477565,9.219732612,1.118252094,12.28625321,rhythmic
TRINITY_DN10774_c0_g1_i3.1,7.449337558,286.5953352,8.245034356,0.981608654,10.35680628,rhythmic
TRINITY_DN10588_c0_g1_i26.1,4.282941552,161.4564112,5.537100644,1.311451805,12.34609525,nonrhythmic
TRINITY_DN11599_c0_g2_i13.1,0.002943167,276.7611495,11.61420883,1.252646421,15.10730529,nonrhythmic
TRINITY_DN40834_c0_g1_i5.1,29.79725255,278.6444929,10.60956103,1.175722892,13.70722218,rhythmic
TRINITY_DN28863_c0_g1_i12.1,0.17288495,66.99987027,2.26117223,0.930524489,12.14960566,rhythmic
TRINITY_DN14605_c0_g2_i1.1,1.434665804,247.2489862,8.116716471,0.943264723,11.81811895,rhythmic
TRINITY_DN126946_c0_g1_i2.1,1.227744795,245.472517,8.399320393,0.734242071,12.31810134,nonrhythmic
TRINITY_DN17898_c0_g1_i6.1,0.027317409,249.9665271,8.075135038,1.100087141,11.62975158,rhythmic
TRINITY_DN51_c8_g1_i5.1,0.239834238,207.4572167,5.524674248,1.158117938,9.586953691,rhythmic
TRINITY_DN19099_c0_g1_i5.1,0.197483496,142.446037,4.99725505,0.965149794,12.62942695,rhythmic
TRINITY_DN4180_c0_g1_i7.1,2.144230493,284.4131757,8.38626049,0.826376753,10.61502783,rhythmic
TRINITY_DN102727_c0_g1_i1.1,0.220865005,43.31366793,1.205960309,0.939548418,10.02329593,rhythmic
TRINITY_DN19404_c0_g1_i21.1,1.252460872,105.0918269,3.36215246,1.192995971,11.5173075,rhythmic
TRINITY_DN12208_c0_g1_i63.1,5.649638926,333.2858122,12.86690961,0.982912574,13.89824376,rhythmic
TRINITY_DN15709_c0_g1_i1.1,34.16795393,152.9389964,7.88895974,0.330061491,18.56966224,nonrhythmic
